,PCA1,PCA2,neg,neu,pos
29,-0.0610895782578776,-0.0565103383315901,0.0,1.0,0.0
535,-0.0815732432430564,-0.0421941102948643,0.0,1.0,0.0
695,0.3088210254944702,0.0952313162210723,0.0,0.53,0.47
557,-0.0666236884164554,-0.0309425457566673,0.0,0.69,0.31
836,0.1746005491252682,-0.0295031789072841,0.0,0.833,0.167
596,0.0497655650530979,0.0072863731817387,0.244,0.366,0.39
165,-0.0772610184567889,-0.0581853976149915,0.0,0.912,0.088
918,-0.0684932109464175,-0.0531593261677831,0.0,1.0,0.0
495,-0.0899981800306958,-0.0705935417143678,0.0,0.8,0.2
824,-0.0764159700273222,-0.0882302377380798,0.0,1.0,0.0
65,-0.0719873076577351,-0.0588120438569491,0.0,1.0,0.0
141,-0.0760370647296992,-0.0760344716278706,0.0,1.0,0.0
925,-0.0090034123975403,-0.0097716768452559,0.0,0.921,0.079
827,-0.1008905187976054,0.1089114000411472,0.0,0.752,0.248
655,-0.0678791281261736,-0.0584933462386423,0.0,1.0,0.0
331,0.2107021317277995,-0.0126728513598786,0.0,0.405,0.595
664,-0.1200848456150502,0.273624982055345,0.0,1.0,0.0
249,0.1501312825209936,-0.0179360613910991,0.0,0.8,0.2
907,-0.0697576986242298,-0.0594430358415754,0.333,0.667,0.0
708,-0.1066964057855638,0.1915545852965327,0.0,1.0,0.0
305,-0.0687813493276133,-0.0530735010232766,0.0,1.0,0.0
734,-0.0830094158364447,-0.0972380098871791,0.0,1.0,0.0
975,-0.0771799635902857,-0.0579121074427905,0.0,0.736,0.264
49,-0.0685699795565594,-0.0621318225568693,0.0,0.717,0.283
896,-0.0782555124591463,-0.071349669002511,0.0,1.0,0.0
2,-0.0684772375570029,-0.0678560980523001,0.432,0.568,0.0
544,-0.0755630740975035,-0.0711801078052587,0.0,1.0,0.0
350,0.386165568616588,0.0411160263183551,0.0,0.667,0.333
904,-0.0184153245555032,0.2016601476443248,0.0,1.0,0.0
536,-0.0723114186329125,-0.0628324091317621,0.583,0.417,0.0
344,-0.1235153249353198,0.251338717509835,0.0,1.0,0.0
994,-0.1284321230784366,0.2527079984284355,0.0,1.0,0.0
481,-0.0610300835851803,-0.0576766045824422,0.0,1.0,0.0
575,-0.0639382946062152,-0.0414521513534673,0.0,1.0,0.0
33,-0.0557798682316351,-0.0274249316166505,0.0,0.349,0.651
31,0.3243155095918903,0.0205242931066223,0.0,0.8,0.2
231,-0.0506842059856575,0.0039832966479742,0.0,1.0,0.0
963,-0.0636589982198778,-0.044387126724736,0.0,0.809,0.191
192,-0.0664609762120825,-0.0557120994463301,0.0,1.0,0.0
333,-0.0699488533531114,-0.0471127528077062,0.0,0.656,0.344
3,-0.1134312489327781,0.0928842548964016,0.205,0.795,0.0
204,-0.0788316947149927,-0.0562523969244145,0.0,0.769,0.231
514,-0.0711345601709354,-0.0444926368382269,0.0,1.0,0.0
799,0.3921659360567375,0.005257872583321,0.0,0.667,0.333
306,0.4486699840399084,0.0442318678562538,0.0,0.6,0.4
109,-0.0838554308413478,-0.0724679913282148,0.0,1.0,0.0
430,3.086645329489455e-05,-0.0330691644898665,0.0,0.888,0.112
77,-0.1067130064600752,0.0538053592677524,0.0,0.683,0.317
84,-0.0589505546288343,-0.0205133716519281,0.0,1.0,0.0
286,-0.0697519704900574,-0.0391083057024488,0.0,1.0,0.0
82,-0.0708546820055246,-0.0562947235745001,0.434,0.566,0.0
991,-0.0654320230615349,-0.0558858915755504,0.0,1.0,0.0
789,0.0715344851768116,-0.0345651116116072,0.0,0.724,0.276
894,0.2539868508986436,0.0025681022256702,0.0,0.667,0.333
398,-0.0744990614278305,-0.0704438128039889,0.0,1.0,0.0
323,0.3117476077360482,-0.0034469823277081,0.0,0.5,0.5
519,0.0220431568715939,-0.0246467157501551,0.179,0.821,0.0
916,-0.0935424066657381,0.0262776098919805,0.0,0.884,0.116
922,0.0916668897335793,0.0194522339008209,0.0,1.0,0.0
5,0.3740113980793103,0.0320478445789338,0.0,0.75,0.25
731,0.254368131645974,0.0071006101032742,0.0,0.714,0.286
465,-0.0676917171871827,0.0320524489884597,0.0,0.882,0.118
97,-0.0814310178379107,-0.0081689349752062,0.0,1.0,0.0
266,-0.0726777742933728,-0.0510422668626611,0.0,1.0,0.0
357,-0.0801937177027227,-0.0999726390848833,0.232,0.493,0.275
868,-0.0766299928590968,-0.0340499689939204,0.0,1.0,0.0
798,0.0290245675928197,-0.0199065478063266,0.623,0.377,0.0
380,-0.0095356530705401,-0.0574476774252193,0.0,0.788,0.212
631,-0.0615680076141541,-0.0554580138596712,0.0,1.0,0.0
381,0.1918990004323664,-0.0212581318173159,0.354,0.553,0.092
490,-0.0921431851263506,0.0959440684863185,0.0,0.899,0.101
118,-0.0770436454860745,-0.0742690293064632,0.0,1.0,0.0
900,-0.0710835516805048,-0.0430345661669844,0.0,1.0,0.0
250,0.196494475352906,-0.0174695361100538,0.0,0.875,0.125
523,0.3275717625633728,0.0224247913443696,0.0,0.714,0.286
9,-0.0672217029663446,-0.0501485726942447,0.292,0.708,0.0
196,-0.0593538603031035,-0.0523015119589215,0.0,1.0,0.0
603,-0.0680964948244111,-0.0595374763715366,0.0,1.0,0.0
